slm,match,scope,precision,recall,f1,tp,fp,fn,n_pred,n_truth,runtime_sec
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.14285714285714285,0.9,0.24657534246575338,9,54,1,63,10,0.03
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,0.07692307692307693,0.5,0.13333333333333336,2,24,2,,,
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.0625,1.0,0.11764705882352941,1,15,0,,,
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.3125,1.0,0.47619047619047616,5,11,0,,,
model_A,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,save,0.0,0.0,0.0,0,5,0,,,
model_A,2018WC_Portugal_vs_Spain,overall,0.16666666666666666,0.8888888888888888,0.2807017543859649,8,40,1,48,9,0.02
model_A,2018WC_Portugal_vs_Spain,goal,0.11538461538461539,0.5,0.1875,3,23,3,,,
model_A,2018WC_Portugal_vs_Spain,penalty,0.08333333333333333,1.0,0.15384615384615385,1,11,0,,,
model_A,2018WC_Portugal_vs_Spain,card,0.16666666666666666,1.0,0.2857142857142857,1,5,0,,,
model_A,2018WC_Portugal_vs_Spain,save,0.25,1.0,0.4,1,3,0,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.10576923076923077,0.8461538461538461,0.18803418803418803,11,93,2,104,13,0.02
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.07792207792207792,0.75,0.1411764705882353,6,71,2,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,0.0625,0.5,0.1111111111111111,1,15,1,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.4,0.6666666666666666,0.5,2,3,1,,,
model_A,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,save,0.0,0.0,0.0,0,6,0,,,
phi-3.5-mini-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.16981132075471697,0.9,0.2857142857142857,9,44,1,53,10,102.69
phi-3.5-mini-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,0.06060606060606061,0.5,0.10810810810810813,2,31,2,,,
phi-3.5-mini-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.0,0.0,0.0,0,0,1,,,
phi-3.5-mini-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.15,0.6,0.24,3,17,2,,,
phi-3.5-mini-instruct,2018WC_Portugal_vs_Spain,overall,0.075,0.3333333333333333,0.12244897959183673,3,37,6,40,9,63.85
phi-3.5-mini-instruct,2018WC_Portugal_vs_Spain,goal,0.17647058823529413,0.5,0.2608695652173913,3,14,3,,,
phi-3.5-mini-instruct,2018WC_Portugal_vs_Spain,penalty,0.0,0.0,0.0,0,0,1,,,
phi-3.5-mini-instruct,2018WC_Portugal_vs_Spain,card,0.0,0.0,0.0,0,20,1,,,
phi-3.5-mini-instruct,2018WC_Portugal_vs_Spain,save,0.0,0.0,0.0,0,3,1,,,
phi-3.5-mini-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.07894736842105263,0.23076923076923078,0.11764705882352941,3,35,10,38,13,114.78
phi-3.5-mini-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.09375,0.375,0.15,3,29,5,,,
phi-3.5-mini-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,0.0,0.0,0.0,0,0,2,,,
phi-3.5-mini-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.0,0.0,0.0,0,6,3,,,
qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.2727272727272727,0.3,0.28571428571428564,3,8,7,11,10,13.02
qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,0.5,0.5,0.5,2,2,2,,,
qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,1.0,1.0,1.0,1,0,0,,,
qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.0,0.0,0.0,0,3,5,,,
qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,save,0.0,0.0,0.0,0,3,0,,,
qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,overall,0.5384615384615384,0.7777777777777778,0.6363636363636364,7,6,2,13,9,14.54
qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,goal,0.7142857142857143,0.8333333333333334,0.7692307692307692,5,2,1,,,
qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,penalty,0.3333333333333333,1.0,0.5,1,2,0,,,
qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,card,0.3333333333333333,1.0,0.5,1,2,0,,,
qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,save,0.0,0.0,0.0,0,0,1,,,
qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.5,0.46153846153846156,0.48000000000000004,6,6,7,12,13,15.33
qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.4444444444444444,0.5,0.47058823529411764,4,5,4,,,
qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,1.0,0.5,0.6666666666666666,1,0,1,,,
qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.0,0.0,0.0,0,1,3,,,
qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,save,0.0,0.0,0.0,0,1,0,,,
gemma-2-9b-it,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.2857142857142857,0.4,0.3333333333333333,4,10,6,14,10,33.5
gemma-2-9b-it,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,1.0,0.75,0.8571428571428571,3,0,1,,,
gemma-2-9b-it,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.0,0.0,0.0,0,1,1,,,
gemma-2-9b-it,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.1111111111111111,0.2,0.14285714285714285,1,8,4,,,
gemma-2-9b-it,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,save,0.0,0.0,0.0,0,1,0,,,
gemma-2-9b-it,2018WC_Portugal_vs_Spain,overall,0.5384615384615384,0.7777777777777778,0.6363636363636364,7,6,2,13,9,28.72
gemma-2-9b-it,2018WC_Portugal_vs_Spain,goal,0.7142857142857143,0.8333333333333334,0.7692307692307692,5,2,1,,,
gemma-2-9b-it,2018WC_Portugal_vs_Spain,penalty,1.0,1.0,1.0,1,0,0,,,
gemma-2-9b-it,2018WC_Portugal_vs_Spain,card,0.25,1.0,0.4,1,3,0,,,
gemma-2-9b-it,2018WC_Portugal_vs_Spain,save,0.0,0.0,0.0,0,1,1,,,
gemma-2-9b-it,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.3125,0.38461538461538464,0.3448275862068966,5,11,8,16,13,39.18
gemma-2-9b-it,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.4166666666666667,0.625,0.5,5,7,3,,,
gemma-2-9b-it,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,0.0,0.0,0.0,0,0,2,,,
gemma-2-9b-it,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.0,0.0,0.0,0,1,3,,,
gemma-2-9b-it,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,save,0.0,0.0,0.0,0,3,0,,,
qwen2.5-32b-instruct-bnb-4bit,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.4,0.4,0.4000000000000001,4,6,6,10,10,67.99
qwen2.5-32b-instruct-bnb-4bit,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,1.0,0.5,0.6666666666666666,2,0,2,,,
qwen2.5-32b-instruct-bnb-4bit,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.0,0.0,0.0,0,1,1,,,
qwen2.5-32b-instruct-bnb-4bit,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.2857142857142857,0.4,0.3333333333333333,2,5,3,,,
qwen2.5-32b-instruct-bnb-4bit,2018WC_Portugal_vs_Spain,overall,0.6,0.6666666666666666,0.631578947368421,6,4,3,10,9,60.21
qwen2.5-32b-instruct-bnb-4bit,2018WC_Portugal_vs_Spain,goal,0.6666666666666666,0.6666666666666666,0.6666666666666666,4,2,2,,,
qwen2.5-32b-instruct-bnb-4bit,2018WC_Portugal_vs_Spain,penalty,1.0,1.0,1.0,1,0,0,,,
qwen2.5-32b-instruct-bnb-4bit,2018WC_Portugal_vs_Spain,card,0.3333333333333333,1.0,0.5,1,2,0,,,
qwen2.5-32b-instruct-bnb-4bit,2018WC_Portugal_vs_Spain,save,0.0,0.0,0.0,0,0,1,,,
qwen2.5-32b-instruct-bnb-4bit,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.8,0.3076923076923077,0.4444444444444444,4,1,9,5,13,43.18
qwen2.5-32b-instruct-bnb-4bit,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.75,0.375,0.5,3,1,5,,,
qwen2.5-32b-instruct-bnb-4bit,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,1.0,0.5,0.6666666666666666,1,0,1,,,
qwen2.5-32b-instruct-bnb-4bit,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,0.0,0.0,0.0,0,0,3,,,
