slm,match,scope,precision,recall,f1,tp,fp,fn,n_pred,n_truth,runtime_sec
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,overall,0.2777777777777778,0.5,0.35714285714285715,5,13,5,18,10,108.65
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,goal,0.5,0.5,0.5,2,2,2,,,
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,penalty,0.0,0.0,0.0,0,5,1,,,
g-qwen2.5-7b-instruct,2014_15_LaLiga_FC_Barcelona_vs_Atletico_Madrid,card,0.2222222222222222,0.4,0.2857142857142857,2,7,3,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,overall,0.35,0.7777777777777778,0.48275862068965514,7,13,2,20,9,91.3
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,goal,0.3076923076923077,0.6666666666666666,0.42105263157894735,4,9,2,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,penalty,0.5,1.0,0.6666666666666666,1,1,0,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,card,0.3333333333333333,1.0,0.5,1,2,0,,,
g-qwen2.5-7b-instruct,2018WC_Portugal_vs_Spain,save,0.5,1.0,0.6666666666666666,1,1,0,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,overall,0.42105263157894735,0.6153846153846154,0.5,8,11,5,19,13,133.78
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,goal,0.38461538461538464,0.625,0.4761904761904762,5,8,3,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,penalty,0.25,0.5,0.3333333333333333,1,3,1,,,
g-qwen2.5-7b-instruct,2025_26_LaLiga_Betis_vs_FC_Barcelona_MD15,card,1.0,0.6666666666666666,0.8,2,0,1,,,
